latintext	translation
Quis enim non dixit Εὔπολιν τὸν τῆς ἀρχαίας ab Alcibiade nauigante in Siciliam deiectum esse in mare?	600 sestércios, ouço que Filótimo chegou em Quersoneso por volta da calendas de janeiro [1º.
Redarguit Eratosthenes;	de janeiro];
adfert enim quas ille post id tempus fabulas docuerit.	Mas a mim nada da parte dele até agora.
Num idcirco Duris Samius, homo in historia diligens, quod cum multis errauit, irridetur?	Camilo escreve que recebeu o meu restante.
Quis Zaleucum leges Locris scripsisse non dixit?	Não sei o que é e tenho vontade de saber.
Num igitur iacet Theophrastus si id a Timaeo, tuo familiari, reprehensum est?	Mas, na verdade, isso talvez melhor mais tarde e pessoalmente.
Sed nescire proauum suum censorem non fuisse turpe est, praesertim cum post eum consulem nemo Cornelius illo uiuo censor fuerit.	20 Aquilo quase na parte final da carta, meu querido Ático, me abalou;
19 Quod de Philotimo et de solutione HS XXDC scribis, Philotimum circiter Kal.	pois escreves assim, “o que resta, então?”
Ian.	, depois me suplicas muito carinhosamente que eu não me esqueça de estar alerta e que preste atenção ao que acontece.
in Chersonesum audio uenisse;	O que é que ouviste e a respeito de quem?
At mi ab eo nihil adhuc.	Ainda que não haja nada desse tipo;
Reliqua mea Camillus scribit se accepisse.	Pois nem me teria escapado nem me escapará.
Ea quae sint nescio et aueo scire.	Mas essa advertência tua tão cuidadosa me pareceu indicar não sei o que.
Sed uerum haec posterius et coram fortasse commodius.	21 A respeito de Marco Otávio, te repito novamente que tu já respondeste corretamente a ele;
20 Illud me, mi Attice, in extrema fere parte epistulae commouit;	eu queria com um pouco mais de firmeza.
scribis enim sic, “τί λοιπόν;”, deinde me obsecras amantissime ne obliuiscar uigilare et ut animaduertam quae fiant.	Pois Célio me mandou um liberto e uma carta cuidadosamente escrita sobre as panteras e (+) das cidades.
Num quid de quo inaudisti?	Respondi ao segundo que me sinto mal, se eu me oculto em trevas e não se ouve em Roma que não foi fornecido para as despesas em minha província nenhuma moeda a não ser para as dívidas, e mostrei que nem a mim era permitido conseguir dinheiro nem a ele recebê-lo, e adverti a ele, a quem tenho grande apreço, que, visto que tinha acusado os outros, vivesse com mais cautela;
Etsi nihil eius modi est;	já o outro ponto, que era incompatível com minha reputação que os habitantes de Cíbira caçassem oficialmente por ordem minha.
πολλοῦ γε καὶ δεῖ.	22 Lepta está pulando de alegria com tua carta;
Nec enim me fefellisset nec fallet.	de fato, está magnificamente escrita e me pôs em grande disposição junto a ele.
Sed ista admonitio tua tam accurata nescio quid mihi significare uisa est.	Tua filhinha me fez agradecido por ter te encarregado com diligência que me saudasses, agradecido também a Pília, mas aquela mais atenciosamente porque a mim, que já há muito me quer bem, nunca me viu;
21 De M.	portanto, tu também saúde a ambas.
Octauio, iterum iam tibi rescribo te illi probe respondisse;	O dia da entrega de tua carta, véspera das calendas de janeiro [31 de dezembro] teve uma doce lembrança do famosíssimo juramento que eu não esqueci;
paulo uellem fidentius.	pois fui Magno aquele dia com a toga pretexta.
Nam Caelius libertum ad me misit et litteras accurate scriptas et de pantheris et (+) a ciuitatibus.	Tens tudo;
Rescripsi ad alterum me moleste ferre, si ego in tenebris laterem nec audiretur Romae nullum in mea prouincia nummum nisi in aes alienum erogari, docuique nec mihi conciliare pecuniam licere nec illi capere, monuique eum, quem plane diligo, ut cum alios accusasset cautius uiueret;	não, como pediste, “ouro por bronze”, mas respondemos ponto por ponto.
illud autem alterum alienum esse existimatione mea, Cibyratas imperio meo publice uenari.	23 Eis, porém, outra pequena carta, que não deixarei sem resposta.
22 Lepta tua epistula gaudio exsultat;	Com acerto, por hércules, Luceio pôs à venda sua chácara em Túsculo, a não ser que talvez (como costuma) com seu próprio flautista.
etenim scripta belle est meque apud eum magna in gratia posuit.	e eu queria saber qual é a situação dele.
Filiola tua gratum mihi fecit quod tibi diligenter mandauit ut mihi salutem adscriberes, gratum etiam Pilia, sed illa officiosius quod me, quem iam pridem amat, numquam uidit;	Ouço, na verdade, que o nosso amigo Lêntulo pôs [tudo] à venda, exceto a chácara de Túsculo.
igitur tu quoque salutem utrique adscribito.	Desejo vê-los desembaraçados, desejo também a Séstio, acrescenta, se queres, Célio;
Litterarum datarum dies prid.	em todos esses há “vergonha em recusar, temor em aceitar”.
Kal.	Sobre a restituição de Mêmio acho que ouviste como Curião pensa fazê-lo.
Ian.	Sobre a dívida de Egnácio Sidicino estamo com alguma, não grande esperança.
suauem habuit recordationem clarissimi iuris iurandi quod ego non eram oblitus;	A Pinário, que me recomendas, gravemente doente, Dejótaro cuida dele com o maior empenho.
Magnus enim praetextatus illo die fui.	Respondi também a mais curta.
Habes ad omnia;	24 Queria que tu, enquanto eu estiver em Laodicéia, isto é, até os idos de maio [15 de maio] falasse comigo por cartas o mais frequentemente possível e, quando vieres a Atenas (pois já saberemos sobre os assuntos urbanos, sobre as províncias, tudo que foi aprazado para o mês de março), me envies sobretudo carteiros.
non, ut postulasti, “χρύσεα χαλκείων” sed paria paribus respondimus.	25 E olha tu, vós arrancastes de César por intermédio de Herodes cinquenta talentos áticos?
23 Ecce autem alia pusilla epistula, quam non relinquam ἀναντιφώνητον.	Com isso, conforme ouço, atraístes um grande ódio de Pompeu;
Bene mehercule proposuit Lucceius Tusculanum, nisi forte (solet enim) cum suo tibicine;	pois ele acha que vós comestes o seu próprio dinheiro, que César será mais diligente em edificar no Bosque.
et uelim scire qui sit eius status.	Essas coisas eu ouvi de Públio Védio, um grande patife, mas amigo íntimo de Pompeu.
Lentulum quidem nostrum *** praeter Tusculanum proscripsisse audio.	Este Védio veio ao meu encontro com duas carruagens e um carro com cavalos atrelados e uma liteira e uma grande séquito de escravos, pelo qual, se Curião fizer aprovar sua lei, é necessário que pague cem sestércios por cada um;
Cupio hos expeditos uidere, cupio etiam Sestium, adde sis Caelium;	havia, além disso, um macaco na carruagem e não faltavam burros selvagens.
in quibus omnibus est “αἴδεσθεν μὲν ἀνήνασθαι, δεῖσαν δ' ὑποδέχθαι”.	Nunca vi um homem mais sem valor.
De Memmio restituendo ut Curio cogitet te audisse puto.	Mas escuta o final.
De Egnati Sidicini nomine nec nulla nec magna spe sumus.	Em Laodicéia, ele se hospedou na casa de Pompeu Vindilo;
Pinarium, quem mihi commendas, diligentissime Deiotarus curat grauiter aegrum.	ali deixou suas coisas quando veio até mim.
Respondi etiam minori.	Nesse ínterim, morre Vindilo.
24 Tu uelim dum ero Laodiceae, id est ad Id.	Como se pensava que coisas dele pertenciam a Pompeu Magno, Caio Venônio veio à casa de Vindilo.
Mai.	Quando punha o selo em tudo, deu com as coisas de Védio.
, quam saepissime mecum per litteras colloquare et cum Athenas ueneris (iam enim sciemus de rebus urbanis, de prouinciis, quae omnia in mensem Martium sunt collata) utique ad me tabellarios mittas.	Nestas, foram encontradas cinco pequenos bustos de matronas, nos quais um da irmã de teu amigo, um homem bruto, que se vale deste nome, e o da esposa daquele lépido que leva isso tão negligentemente.
25 Et heus tu, †genua† uos a Caesare per Herodem talenta Attica L extorsistis?	Quis te contar isso;
In quo, ut audio, magnum odium Pompei suscepistis;	pois somos ambos lindamente curiosos.
putat enim suos nummos uos comedisse, Caesarem in Nemore aedificando diligentiorem fore.	26 Eu queria ainda que meditasses uma coisa.
Haec ego ex P.	Ouço que Ápio está fazendo um pórtico em Elêusis;
Vedio, magno nebulone sed Pompei tamen familiari, audiui.	acaso seremos idiotas, se nós fizermos um na Academia?
Hic Vedius mihi obuiam uenit cum duobus essedis et raeda equis iuncta et lectica et familia magna, pro qua, si Curio legem pertulerit, HS centenos pendat necesse est;	“Acho” dirás.
erat praeterea cynocephalus in essedo nec deerant onagri.	Então escreves isso mesmo a mim.
Numquam uidi hominem nequiorem.	Na verdade, eu amo demais a própria Atenas;
Sed extremum audi.	quero ser algum monumento, odeio as falsas inscrições das estátuas alheias.
Deuersatus est Laodiceae apud Pompeium Vindillum;	Mas, se te agradar, me informarás em que dia caem os mistérios romanos e como estás passando o inverno.
ibi sua deposuit cum ad me profectus est.	Cuida para que estejas bem de saúde.
Moritur interim Vindillus.	No septingentésimo sexagésimo quinto dia após a batalha de Leuctra.
Quod res ad Magnum Pompeium pertinere putabatur, C.	2 Cícero saúda Ático.
Vennonius domum Vindilli uenit.	1 Como Filógenes, teu liberto, tivesse vindo até mim em Laodicéia para me saudar e dissesse que logo embarcaria para junto de ti, entreguei-lhe esta carta, na qual respondi àquela que eu tinha recebido do carteiro de Bruto.
Cum omnia obsignaret, in Vedianas res incidit.	E vou responder primeiramente a tua última página, na qual foi de grande preocupação para mim o que foi escrito para ti por Cíncio acerca da conversa de Estácio;
In his inuentae sunt quinque imagunculae matronarum, in quibus una sororis amici tui, hominis bruti qui hoc utatur, et uxoris illius lepidi qui haec tam neglegenter ferat.	o mais preocupante nesta é Estácio dizer que esse plano é aprovado também por mim.
Haec te uolui παριστορῆσαι;	Eu, porém, sobre isso diria apenas que desejo o maior número de laços possível da mais íntima ligação contigo, ainda que sejam estreitíssimos os de nossa afeição;
sumus enim ambo belle curiosi.	está muito longe para que eu queira afrouxar alguma coisa disso com que somos unidos.
26 Vnum etiam uelim cogites.	2 Que ele, por outro lado, costuma falar muito sobre essas coisas com demasiada aspereza frequentemente experimentei, frequentemente também abrandei-o em sua ira;
Audio Appium πρόπυλον Eleusine facere;	julgo que tu sabes isso.
num inepti fuerimus si nos quoque Academiae fecerimus?	Já nesta viagem ao exterior, ou melhor, em nossa campanha militar, muitas vezes o vi inflamado de ira, muitas vezes acalmado.
“Puto” inquies.	O que ele escreveu para Estácio não sei;
Ergo id ipsum scribes ad me.	o que quer que iria fazer acerca de tal assunto não deve ter, contudo, escrito a um liberto.
Equidem ualde ipsas Athenas amo;	Eu terei, porém, o maior cuidado para que nada aconteça diferentemente do que queremos e do que convém.
uolo esse aliquod monumentum, odi falsas inscriptiones statuarum alienarum.	E num caso desse tipo não é suficiente que cada um se mostre responsável, e as maiores partes desse dever são do menino Cícero ou já um jovem;
Sed ut tibi placebit, faciesque me in quem diem Romana incidant mysteria certiorem et quo modo hiemaris.	porque, na verdade, costumo exortá-lo.
Cura ut ualeas.	E a mim me parece que ele ama muito a sua mãe, como deve, e magnificamente a ti;
Post Leuctricam pugnam die septingentesimo sexagesimo quinto.	mas, na verdade, é grande o caráter do garoto, contudo complexo;
2 Cicero Attico sal.	eu tenho um demasiado trabalho de conduzi-lo.
1 Cum Philogenes, libertus tuus, Laodiceam ad me salutandi causa uenisset et se statim ad te nauigaturum esse diceret, has ei litteras dedi, quibus ad eas rescripsi quas acceperam a Bruti tabellario.	3 Visto que respondi a tua última página na primeira minha, agora voltarei para a primeira tua.
Et respondebo primum postremae tuae paginae, qua mihi magnae molestiae fuit quod ad te scriptum est a Cincio de Stati sermone;	Acreditei, pelos mapas de Dicearco, um homem não inútil, mas ainda aprovado pelo teu juízo, que todas as cidades do Peloponeso são marítimas.
in quo hoc molestissimum est, Statium dicere a me quoque id consilium probari.	Ele, em muitos pontos, no relato de Querão sobre Trofônio, repreende os gregos no fato de ter buscado o mar e não excetua um único lugar no Peloponeso.
Ego autem de isto hactenus dixerim, me uel plurima uincla tecum summae coniunctionis optare, etsi sunt amoris artissima;	Ainda que esse autor fosse do meu agrado (pois era um ótimo historiador e tinha vivido no Peloponeso), eu achava estranho, contudo, e, mal acreditando nele, me comuniquei com Dionísio.
tantum abest ut ego ex eo quo astricti sumus laxari aliquid uelim.	E este, em princípio, se sobressaltou, depois, uma vez que tinha acerca desse Dicearco uma opinião não menos boa do que tu de Caio Vestório, eu, de Marco Clúvio, não hesita em acreditarmos nele.
2 Illum autem multa de istis rebus asperius solere loqui saepe sum expertus, saepe etiam leniui iratum;	Pensa que na Arcádia há um Lépreo marítimo;
id scire te arbitror.	Já Tênea e Alífera e Trítia lhe pareciam fundações recentes, e confirmava isso com o catálogo das naus, onde não ocorre menção a elas.
In hac autem peregrinatione militiaue nostra saepe incensum ira uidi, saepe placatum.	E assim eu traduzi palavra por palavra toda essa passagem de Dicearco.
Quid ad Statium scripserit nescio;	Por outro lado sei que se diz “Fliásios” e faz assim para que tenhas;
quicquid acturus de tali re fuit, scribendum tamen ad libertum non fuit.	nós, na verdade, já temos assim.
Mihi autem erit maximae curae ne quid fiat secus quam uolumus quamque oportet.	Mas, no início, tinha me confundido a analogia de Fliunte, Opunte, Sipunte, pelo de Opúntios, Sipúntios;
Nec satis est in eius modi re se quemque praestare, ac maximae partes istius offici sunt pueri Ciceronis siue iam adulescentis;	mas logo em seguida corrigimos isso.
quod quidem illum soleo hortari.	4 Vejo que te alegras com minha moderação e comedimento.
Ac mihi uidetur ualde matrem, ut debet, amare teque mirifice;	Farias mais, se estivesses aqui.
sed est magnum illud quidem uerum tamen multiplex pueri ingenium;	E nessa sessão do tribunal que realizei em Laodicéia dos idos de fevereiro [13 de fevereiro] até as calendas de maio [1º.
quod ego regendo habeo negoti satis.	de maio] para todos os distritos, exceto o da Cilícia, fiz coisas maravilhosas;
3 Quoniam respondi postremae tuae paginae prima mea, nunc ad primam reuertar tuam.	assim muitas cidades foram livradas de toda dívida, muitas foram bastante aliviadas, todas, tendo adquirido sua autonomia e usado suas próprias leis e tribunais, reviveram.
Peloponnesias ciuitates omnis maritimas esse hominis non nequam sed etiam tuo iudicio probati, Dicaearchi tabulis credidi.	Eu lhes dei a possibilidade de livrar-se de suas dívidas ou de aliviá-las por estes dois procedimentos:
Is multis nominibus in Trophoniana Chaeronis narratione Graecos in eo reprehendit quod maritima secuti sint, nec ullum in Peloponneso locum excipit.	um porque não se fez em meu governo absolutamente nenhum gasto;
Cum mihi auctor placeret (etenim erat ἱστορικώτατος et uixerat in Peloponneso), admirabar tamen et uix adcredens communicaui cum Dionysio.	quando digo nenhum não falo em hipérbole:
Atque is primo est commotus, deinde, quod de isto Dicaearcheo non minus bene existimabat quam tu de C.	nenhum, digo, nem sequer a quarta parte de um as.
Vestorio, ego de M.	É incrível o quanto as cidades ressurgiram com este procedimento.
Cluuio, non dubitabat quin ei crederemus.	5 Acrescente-se o outro:
Arcadiae censebat esse Lepreon quoddam maritimum;	eram surpreendentes os roubos dos próprios gregos nas cidades que seus próprios magistrados tinham feito.
Tenea autem et Aliphera et Tritia νεόκτιστα ei uidebantur, idque τῷ τῶν νεῶν καταλόγῳ confirmabat, ubi mentio non fit istorum.	Eu próprio perguntei aos que tinham desempenhado a magistratura nos últimos dez anos;
Itaque istum ego locum totidem uerbis a Dicaearcho transtuli.	confessavam abertamente.
“Phliasios” autem dici sciebam et ita fac ut habeas;	E assim, sem nenhuma desonra, restituíram o dinheiro ao povo a suas proprias custas.
nos quidem sic habemus.	O povo, por sua vez, sem nenhum gemido, devolveram aos publicanos, para os quais neste lustro não tinham pagado nada, e mesmo do lustro anterior;
Sed primo me ἀναλογία deceperat, Φλιοῦς, ᾿Οποῦς, Σιποῦς, quod ᾿Οπούντιοι, Σιπούντιοι;	e assim somos a menina-dos-olhos dos publicanos.
sed hoc continuo correximus.	“Homens agradecidos”, dizes.
4 Laetari te nostra moderatione et continentia uideo.	Notamos.
Tum id magis faceres, si adesses.	Já o resto de minha atuação judicial, não inábil, e clemente, com uma admirável facilidade.
Atque hoc foro quod egi ex Id.	Os acessos a mim nem um pouco provinciais.
Febr.	Nada por meio de um criado de quarto;
Laodiceae ad Kal.	antes do amanhecer, passeio em casa como outrora, quando candidato.
Mai.	Isto é popular e grande e ainda não laborioso para mim graças àquela minha antiga vida militar.
omnium dioecesium praeter Ciliciae mirabilia quaedam effecimus;	6 Nas nonas de maio [7 de maio] penso em ir para Cilícia.
ita multae ciuitates omni aere alieno liberatae, multae ualde leuatae sunt, omnes suis legibus et iudiciis usae αὐτονομίαν adeptae reuixerunt.	depois de passar ali o mês de junho (e tomara que em paz!
His ego duobus generibus facultatem ad se aere alieno liberandas aut leuandas dedi:	pois ameaça uma grande guerra da parte dos partos), estaelecer julho para meu retorno.
uno quod omnino nullus in imperio meo sumptus factus est;	Pois meus serviços anuais se cumprem no terceiro dia antes das calendas de agosto [30 de julho] Estou com grande esperança de que não se prorrogará nenhum minuto.
nullum cum dico non loquor ὑπερβολικῶς:	Tenho as atas da cidade até as nonas de março [7 de março];
nullus inquam, ne terruncius quidem.	destas eu entendo que a firmeza de nosso amigo Curião tratará de tudo antes do que o que diz respeito às províncias.
Hac autem re incredibile est quantum ciuitates emerserint.	Portanto, conforme espero, te verei dentro de pouco tempo.
5 Accessit altera:	7 Passo ao teu querido Bruto, ou melhor, ao nosso (pois preferes assim).
mira erant in ciuitatibus ipsorum furta Graecorum quae magistratus sui fecerant.	Na verdade fiz tudo o que pude realizar em minha província ou tentar no reino.
Quaesiui ipse de iis qui annis decem proximis magistratum gesserant;	Portanto, por todos os meios tratei e trato diariamente com o rei, por meio de cartas evidentemente;
aperte fatebantur.	pois tive-o comigo três ou quatro dias em meio àqueles casos turbulentos dos quais o livrei.
Itaque sine ulla ignominia suis umeris pecunias populis rettulerunt.	Mas então pessoalmente e posteriormente por cartas frequentíssimas não deixei de rogar-lhe e pedir-lhe em meu interesse, de persuadi-lo e aconselhá-lo no seu.
Populi autem nullo gemitu publicanis, quibus hoc ipso lustro nihil soluerant, etiam superioris lustri reddiderunt;	Muito consegui, mas quanto não sei bem, porque estou longe.
itaque publicanis in oculis sumus.	Por outro lado, convenci os salaminos (pois eu podia obrigá-los) a que quisessem pagar toda a sua dívida a Escápcio, mas a um por cento mensal a partir do último contrato e não simples, mas composto por anos.
“Gratis” inquis “uiris.”	Contava-se o dinheiro:
Sensimus.	Escápcio não aceitou.
Iam cetera iuris dictio nec imperita et clemens cum admirabili facilitate.	E tu, que dizes que Bruto deseja ter alguma perda?
Aditus autem ad me minime prouinciales.	“Tinha no contrato quatro por cento mensal”.
Nihil per cubicularium;	Não podia ser, nem, se pudesse, eu podia admitir.
ante lucem inambulabam domi ut olim candidatus.	Ouço que Escápcio está completamente arrependido.
Grata haec et magna mihique nondum laboriosa ex illa uetere militia.	Pois quanto ao que ele dizia que um decreto do senado ordenava que a decisão fosse de acordo com o contrato, por essa razão ocorreu que os Salaminos tinham tomado dinheiro emprestado contra a lei Gabínia.
6 Non.	Essa lei proibia que se pronunciasse uma decisão sobre um dinheiro emprestado desse modo;
Mai.	portanto, o senado decretou que se pronunciasse a decisão de acordo com esse contrato.
in Ciliciam cogitabam;	Agora esse tem a mesma validade jurídica que os outros, nada de privilégio.
ibi cum Iunium mensem consumpsissem (atque utinam in pace!	8 Acho que terei a aprovação de Bruto nessas coisas feitas devidamente por mim, a ti não sei, de Catão com certeza terei a aprovação.
magnum enim bellum impendet a Parthis), Quintilem in reditu ponere.	Mas agora volto a ti.
Annuae enim mihi operae a.	Dizes realmente, Ático, tu, elogiador de nossa integridade e correção?
d.	“Ousaste com tua própria boca” (diz Ênio), pedir-me que desse a Escápcio a cavalaria para recobrar o teu dinheiro?
III Kal.	Por acaso se tu estivesses comigo, tu, que escreves que te irritas por não estar a meu lado, permitirias que eu fizesse isso, se eu quisesse?
Sext.	“Não mais que cinquenta” dizes.
emerentur.	Com Espártaco, no princípio, estiveram muitos menos.
Magna autem in spe sum mihi nihil temporis prorogatum iri.	O que não teriam feito esses malévolos em uma ilha tão frágil?
Habebam acta urbana usque ad Non.	Não teriam feito?
Mart.	Mas e o que não fizeram antes de minha chegada?
;	Mantiveram o senado dos salaminos fechado dentro da cúria durante tão numerosos dias que alguns morreram de fome;
e quibus intellegebam Curionis nostri constantia omnia potius actum iri quam de prouinciis.	pois Escápcio era prefeito de Ápio e tinha pelotões de Ápio.
Ergo, ut spero, prope diem te uidebo.	Então tu, cujo rosto, por hércules, costuma apresentar-se diante de meus olhos quando penso em algum dever ou louvor, tu, eu digo, me pedes que Escápcio seja prefeito?
7 Venio ad Brutum tuum, immo nostrum (sic enim mauis).	Mas tínhamos estabelecido isso, que nenhum comerciante e nisso temos a aprovação de Bruto.
Equidem omnia feci quae potui aut in mea prouincia perficere aut in regno experiri.	Que ele tenha pelotões?
Omni igitur modo egi cum rege et ago cottidie, per litteras scilicet;	Por que é melhor do que coortes?
ipsum enim triduum quadriduumue mecum habui turbulentis in rebus quibus eum liberaui.	9 Com a despesa Escápcio já se torna um dissipador.
Sed et tum praesens et postea creberrimis litteris non destiti rogare et petere mea causa, suadere et hortari sua.	“Os chefes querem” ele diz.
Multum profeci, sed quantum, non plane, quia longe absum, scio.	Sei;
Salaminos autem (hos enim poteram coercere) adduxi ut totum nomen Scaptio uellent soluere, sed centesimis ductis a proxima quidem syngrapha nec perpetuis sed renouatis quotannis.	pois vieram ao meu encontro em Éfeso e, chorando, denunciaram os crimes dos cavaleiros e suas próprias desgraças.
Numerabantur nummi:	E assim entreguei imediatamente uma carta para os cavaleiros saíssem de Chipre antes deu dia determinado e, por esse motivo e por outros, os salaminos nos ergueram ao céu em seus decretos.
noluit Scaptius.	Mas agora que necessidade há de cavalaria?
Quid tu, qui ais Brutum cupere aliquid perdere?	Pois os salaminos pagam;
“Quaternas habebat in syngrapha”.	a não ser que por acaso queiramos conseguir isto pelas armas, que considerem um juro de quatro por cento.
Fieri non poterat nec, si posset, ego pati possem.	E eu vou me atrever a ler alguma vez ou tocar esses livros que tu louvas muitíssimo, se eu fizer algo semelhante?
Audio omnino Scaptium paenitere.	Demais, demais, eu digo, amaste Bruto nisso, ó dulcíssimo Ático, a mim receio que pouco.
Nam quod senatus consultum esse dicebat ut ius ex syngrapha diceretur, eo consilio factum est quod pecuniam Salamini contra legem Gabiniam sumpserant.	E eu escrevi a Bruto que tu tinhas escrito isto a mim.
Vetabat autem ea lex ius dici de ita sumpta pecunia;	10 Fica sabendo agora do resto.
decreuit igitur senatus ut ius diceretur ex ista syngrapha.	Por Ápio, nós fizemos aqui tudo, enfim de modo honrado, mas de muito bom grado;
Nunc ista habet iuris idem quod ceterae, nihil praecipui.	pois não o odeio e gosto de Bruto, e Pompeu, a quem, por hércules, estimo mais e mais a cada dia, me pede com insistência de modo admirável.
8 Haec a me ordine facta puto me Bruto probaturum, tibi nescio, Catoni certe probabo.	Ouviste que o questor Caio Célio vem aqui?
Sed iam ad te ipsum reuertor.	Não sei que classe de homem é.
Ain tandem, Attice, laudator integritatis et elegantiae nostrae?	[Mas] aquele caso de Pamenes não me agrada.
“Ausus es hoc ex ore tuo” (inquit Ennius), ut equites Scaptio ad pecuniam cogendam darem me rogare?	Eu espero estar em Atenas no mês de setembro.
An tu si mecum esses, qui scribis morderi te interdum quod non simul sis, paterere me id facere si uellem?	Queria muito saber as datas de tuas viagens.
“Non amplius” inquis “quinquaginta.”	Soube da ingenuidade de Semprônio Rufo por tua carta de Corcira.
Cum Spartaco minus multi primo fuerunt.	O que queres?
Quid tandem isti mali in tam tenera insula non fecissent?	Invejo o poder de Vestório.
Non fecissent autem?	Eu ainda desejava falar mais agora, mas é dia;
Immo quid ante aduentum meum non fecerunt?	a turba me aperta, Filógenes tem pressa.
Inclusum in curia senatum habuerunt Salaminum ita multos dies ut interierint non nulli fame;	Saúde, portanto, para ti e manda por carta saúde para as nossas queridas Pília e Cecília e recebe um salve de meu Cícero.
erat enim praefectus Appi Scaptius et habebat turmas ab Appio.	3 Cícero saúda Ático.
Id me igitur tu, cuius mehercule os mihi ante oculos solet uersari cum de aliquo officio ac laude cogito, tu me, inquam, rogas praefectus ut Scaptius sit?	1 Ainda que eu não tenha nada de novo que tenha acontecido depois que eu tinha entregado ao teu liberto Filógenes a carta para ti, uma vez que mando Filótimo de volta para Roma, tive de te escrever alguma coisa.
At hoc statueramus, ut negotiatorem neminem, idque Bruto probamus.	Primeiro o que mais me angustia (não que possas me ajudar;
Habeat is turmas?	por quê?
Cur potius quam cohortis?	Pois a coisa está em mãos, tu, porém, estás longe, “e entre mim e ti muitas ondas do vasto mar o Noto faz ondular”) como vês, chega pouco a pouco o dia (pois eu devo ir embora da província no terceiro dia antes das calendas de agosto [30 de julho]), e não há sucessor.
9 Sumptu iam nepos euadit Scaptius.	Quem eu vou deixar para estar à frente da província?
“Volunt” inquit “principes.”	A lógica e a opinião das pessoas pedem meu irmão, primeiro porque parece ser uma honra, portanto ninguém é melhor;
Scio;	segundo porque o tenho como único da categoria pretória.
nam ad me Ephesum usque uenerunt flentesque equitum scelera et miserias suas detulerunt.	Pois Pomptino, segundo o acordo e a convenção (pois ele tinha vindo com essa condição) já tinha se afastado de mim.
Itaque statim dedi litteras ut ex Cypro equites ante certam diem decederent, ob eamque causam tum ob ceteras Salamini nos in caelum decretis suis sustulerunt.	Ninguém considera digno o meu questor;
Sed iam quid opus equitatu?	pois é superficial, libidinoso, gatuno.
Soluunt enim Salamini;	2 Por outro lado, quanto a meu irmão, o primeiro ponto é esse:
nisi forte id uolumus armis efficere, ut faenus quaternis centesimis ducant.	julgo não poder persuadi-lo;
Et ego audebo legere umquam aut attingere eos libros quos tu dilaudas, si tale quid fecero?	pois ele odeia província e, por hércules, não há nada mais odioso, nada mais penoso.
Nimis, nimis, inquam, in isto Brutum amasti, dulcissime Attice, nos uereor ne parum.	Depois, mesmo que ele não queira negar-me, qual é o meu dever?
Atque haec scripsi ego ad Brutum scripsisse te ad me.	Quando se pensa que há na Síria uma grande guerra, essa parece que irromperá nesta província, aqui não há nenhuma proteção, o gasto foi decretado para um ano, pareceria por acaso ser amor de minha parte deixar aqui meu irmão ou diligência deixar algumas bagatelas?
10 Cognosce nunc cetera.	Portanto, como vês, sou atormentado por uma grande preocupação, por uma grande falta de conselho.
Pro Appio nos hic omnia facimus, honeste tamen sed plane libenter;	O que queres?
nec enim ipsum odimus et Brutum amamus et Pompeius mirifice a me contendit, quem mehercule plus plusque in dies diligo.	Não havia necessidade para nós de todo esse assunto.
C.	Quão melhor é a tua província!
Coelium huc quaestorem uenire audisti?	Vais embora quando quiseres, se é que já não foste;
Nescio quid sit hominis.	porás à frente de Tesprótia e Caônia a quem te parecer melhor.
[Sed] Pammenia illa mihi non placent.	Contudo, eu ainda não me encontrei com Quinto, para que eu soubesse se isso lhe agradava ou se isso podia ser conseguido dele;
Ego me spero Athenis fore mense Septembri.	e se pudesse, eu, contudo, não sei o quero.
Tuorum itinerum tempora scire sane uelim.	Isto está, portanto, desse modo.
εὐήθειαν Semproni Rufi cognoui ex epistula tua Corcyraea.	3 O restante, até agora, cheio de louvor e de graça, digno desses livros que muito louvas:
Quid quaeris?	as cidades salvas, se tem plenamente satisfação aos publicanos;
Inuideo potentiae Vestori.	ninguém ofendido com injúria, muito poucos punidos por decreto justo e severo e, contudo, ninguém ousa queixar-se;
Cupiebam etiam nunc plura garrire, sed lucet;	façanhas dignas de triunfo, sobre o qual não faremos nada com avidez, nada com certeza sem realmente o teu conselho.
urget turba, festinat Philogenes.	É difícil a conclusão em transmitir a província;
Valebis igitur et ualere Piliam et Caeciliam nostram iubebis litteris et saluebis a meo Cicerone.	mas algum deus a governará.
3 Cicero Attico sal.	4 Quanto aos assuntos da cidade, evidentemente tu sabes mais, ouves notícias mais frequentemente e mais certas;
1 Etsi nihil sane habebam noui quod post accidisset quam dedissem ad te Philogeni liberto tuo litteras, tamen cum Philotimum Romam remitterem, scribendum aliquid ad te fuit.	na verdade, me dói não ser melhor informado por tuas cartas.
Ac primum illud quod me maxime angebat (non quo me aliquid iuuare posses;	Pois aqui são trazidas odiosas a respeito de Curião, de Paulo;
quippe?	não que eu vojo algum perigo com Pompeu estando de pé ou até mesmo estando sentado, desde que esteja bem de saúde;
res enim est in manibus, tu autem abes longe gentium, “πολλὰ δ' ἐν μεταιχμίῳ νότος κυλίνδει κύματ' εὐρείης ἁλός”):	mas por hércules me dói a sorte de Curião e de Paulo, meus íntimos amigos.
